run_id,iteration,epoch,learning_rate,loss_xy,loss_z,psnr_xy,psnr_final,ssim_xy,ssim_final,iter_time_sec,elapsed_total_sec,ram_mb,gpu_mem_mb,timestamp
Wang_2023_260712_2323,50,0,0.0001,0.07940690219402313,0.0870053842663765,,,,,0.06776714324951172,29.02340793609619,12319.772672,,1783891440.3800056
Wang_2023_260712_2323,100,0,0.0001,0.04721517860889435,0.05070275440812111,,,,,0.06822538375854492,32.44964265823364,12319.870976,,1783891443.8062403
Wang_2023_260712_2323,150,0,0.0001,0.05875885486602783,0.06332243978977203,,,,,0.06910157203674316,35.86398363113403,12319.920128,,1783891447.2205813
Wang_2023_260712_2323,200,0,0.0001,0.0626443400979042,0.06155002862215042,,,,,0.06756925582885742,39.284090757369995,12319.944704,,1783891450.6406884
Wang_2023_260712_2323,250,0,0.0001,0.032653532922267914,0.03424868360161781,,,,,0.06958198547363281,42.70437932014465,12319.993856,,1783891454.060977
Wang_2023_260712_2323,300,0,0.0001,0.0626089945435524,0.06298999488353729,,,,,0.06839370727539062,46.131097078323364,12320.124928,,1783891457.4876947
Wang_2023_260712_2323,350,0,0.0001,0.04544376581907272,0.04656367376446724,,,,,0.06781411170959473,49.56127953529358,12316.868608,,1783891460.9178772
Wang_2023_260712_2323,400,0,0.0001,0.04613903537392616,0.04627224802970886,,,,,0.06878995895385742,52.98586297035217,12316.921856,,1783891464.3424606
Wang_2023_260712_2323,450,0,0.0001,0.05279973894357681,0.05415334179997444,,,,,0.06861400604248047,56.42338800430298,12316.995584,,1783891467.7799857
Wang_2023_260712_2323,500,0,0.0001,0.058332424610853195,0.05752776935696602,,,,,0.06808090209960938,59.877557039260864,12316.995584,,1783891471.2341547
Wang_2023_260712_2323,550,0,0.0001,0.031532030552625656,0.03178270906209946,,,,,0.06822013854980469,63.491116523742676,12317.065216,,1783891474.8477142
Wang_2023_260712_2323,600,0,0.0001,0.06003696843981743,0.06075962260365486,,,,,0.06808972358703613,67.13115525245667,12317.138944,,1783891478.487753
Wang_2023_260712_2323,650,0,0.0001,0.04340627044439316,0.04577898234128952,,,,,0.06857037544250488,70.57534551620483,12317.81888,,1783891481.9319432
Wang_2023_260712_2323,700,0,0.0001,0.047484297305345535,0.04735048487782478,,,,,0.06800007820129395,74.02355933189392,12317.81888,,1783891485.380157
Wang_2023_260712_2323,750,0,0.0001,0.05137349292635918,0.0527191236615181,,,,,0.06762146949768066,77.68089556694031,12317.81888,,1783891489.0374932
Wang_2023_260712_2323,800,0,0.0001,0.054965268820524216,0.05408627539873123,,,,,0.06833076477050781,81.33955550193787,12317.92128,,1783891492.6961532
Wang_2023_260712_2323,850,0,0.0001,0.03081030584871769,0.03003811463713646,,,,,0.06926894187927246,84.78759837150574,12317.92128,,1783891496.144196
Wang_2023_260712_2323,900,0,0.0001,0.05860145017504692,0.05907193943858147,,,,,0.0684669017791748,88.24053764343262,12318.02368,,1783891499.5971353
Wang_2023_260712_2323,900,0,,,,26.42214889526367,27.128432846069337,,,2.8302295207977295,91.00230026245117,12373.078016,,1783891502.358898
Wang_2023_260712_2323,50,1,9.862327044933592e-05,0.0539291687309742,0.05343557521700859,,,,,0.07016801834106445,109.00301885604858,15691.186176,,1783891520.3596165
Wang_2023_260712_2323,100,1,9.862327044933592e-05,0.09885399043560028,0.09906228631734848,,,,,0.06956028938293457,112.57922410964966,15691.251712,,1783891523.9358218
Wang_2023_260712_2323,150,1,9.862327044933592e-05,0.04763627052307129,0.04785444587469101,,,,,0.07027268409729004,116.14276504516602,15691.69408,,1783891527.4993627
Wang_2023_260712_2323,200,1,9.862327044933592e-05,0.06372489035129547,0.06487343460321426,,,,,0.06992721557617188,119.71551012992859,15691.69408,,1783891531.0721078
Wang_2023_260712_2323,250,1,9.862327044933592e-05,0.06688471883535385,0.0674731582403183,,,,,0.07026100158691406,123.48148226737976,15691.776,,1783891534.83808
Wang_2023_260712_2323,300,1,9.862327044933592e-05,0.04278745874762535,0.042837630957365036,,,,,0.06861090660095215,127.04754042625427,15691.91936,,1783891538.404138
Wang_2023_260712_2323,350,1,9.862327044933592e-05,0.05711454153060913,0.05823269113898277,,,,,0.0711665153503418,130.62497782707214,15693.881344,,1783891541.9815755
Wang_2023_260712_2323,400,1,9.862327044933592e-05,0.09851299226284027,0.09870634227991104,,,,,0.07044243812561035,134.36571669578552,15694.098432,,1783891545.7223144
Wang_2023_260712_2323,450,1,9.862327044933592e-05,0.050279539078474045,0.05191808566451073,,,,,0.06944942474365234,138.12685084342957,15694.135296,,1783891549.4834485
Wang_2023_260712_2323,500,1,9.862327044933592e-05,0.06353877484798431,0.06499285995960236,,,,,0.06946468353271484,141.69667983055115,15694.17216,,1783891553.0532775
Wang_2023_260712_2323,550,1,9.862327044933592e-05,0.06729867309331894,0.06821832805871964,,,,,0.07002711296081543,145.44974517822266,15694.225408,,1783891556.8063428
Wang_2023_260712_2323,600,1,9.862327044933592e-05,0.04202282428741455,0.041688866913318634,,,,,0.07065844535827637,149.02897191047668,15694.225408,,1783891560.3855696
