run_id,epoch,timestamp,elapsed_total_sec,train_loss_xy,train_loss_z,val_loss_xy,val_loss_z,psnr_xy,psnr_final,ssim_xy,ssim_final,ram_mb
Wang_2023_clean_260714_1759,1,1784044855.015648,64.42564964294434,0.08764490485191345,0.08467871695756912,0.08492411495910751,0.08564175822668606,25.63480161878798,26.00643411424425,0.5153393826882045,0.515721308655209,5505.744896
Wang_2023_clean_260714_1759,2,1784044878.2413783,87.65138006210327,0.06902189552783966,0.070139080286026,,,,,,,6261.198848
Wang_2023_clean_260714_1759,3,1784044899.5444043,108.95440602302551,0.07134409993886948,0.07224971801042557,,,,,,,7142.924288
Wang_2023_clean_260714_1759,4,1784044919.5939708,129.003972530365,0.06758278608322144,0.06822438538074493,,,,,,,7233.37216
Wang_2023_clean_260714_1759,5,1784044941.630516,151.04051780700684,0.0658474713563919,0.06640647351741791,,,,,,,7307.063296
Wang_2023_clean_260714_1759,6,1784044962.467942,171.87794375419617,0.0693945437669754,0.0698220282793045,,,,,,,7382.781952
Wang_2023_clean_260714_1759,7,1784044983.9846578,193.39465951919556,0.06855716556310654,0.06894201785326004,,,,,,,7503.089664
Wang_2023_clean_260714_1759,8,1784045005.0427961,214.45279788970947,0.07125509530305862,0.07180338352918625,,,,,,,7580.7744
Wang_2023_clean_260714_1759,9,1784045026.4426322,235.85263395309448,0.07135481387376785,0.07196621596813202,,,,,,,7648.190464
Wang_2023_clean_260714_1759,10,1784045074.152056,283.56205773353577,0.06661716103553772,0.06698038429021835,0.08013757886158096,0.08008058769007524,26.626973470052082,26.62385595533583,0.5379948284228643,0.5357857306136026,7736.635392
Wang_2023_clean_260714_1759,11,1784045096.1371167,305.54711842536926,0.07011160254478455,0.07040581107139587,,,,,,,7803.293696
Wang_2023_clean_260714_1759,12,1784045118.1831892,327.593190908432,0.06722337752580643,0.06763529777526855,,,,,,,7893.741568
Wang_2023_clean_260714_1759,13,1784045137.216233,346.62623476982117,0.06747612357139587,0.06773485243320465,,,,,,,7904.268288
