run_id,iteration,epoch,learning_rate,loss_xy,loss_z,psnr_xy,psnr_final,ssim_xy,ssim_final,iter_time_sec,elapsed_total_sec,ram_mb,gpu_mem_mb,timestamp
Wang_2023_260712_2007,1,0,0.0001,0.3703486919403076,0.14662061631679535,,,,,13.371279001235962,52.822065591812134,42244.23936,,1783879713.8284142
Wang_2023_260712_2007,2,0,0.0001,0.8587219715118408,0.21184134483337402,,,,,4.83911657333374,57.665184020996094,42265.427968,,1783879718.6715326
Wang_2023_260712_2007,3,0,0.0001,0.8651169538497925,0.33930015563964844,,,,,4.759483337402344,62.427886962890625,42279.317504,,1783879723.4342356
Wang_2023_260712_2007,4,0,0.0001,0.8351990580558777,0.28663304448127747,,,,,4.790082693099976,67.22129225730896,42293.12512,,1783879728.2276409
Wang_2023_260712_2007,5,0,0.0001,0.8583623766899109,0.1789429932832718,,,,,4.817088842391968,72.04109525680542,42305.59744,,1783879733.0474439
Wang_2023_260712_2007,6,0,0.0001,0.8636603355407715,0.185679629445076,,,,,4.70339560508728,76.7472403049469,42306.433024,,1783879737.753589
Wang_2023_260712_2007,7,0,0.0001,0.8360906839370728,0.2381940633058548,,,,,4.7575483322143555,81.50834155082703,42306.43712,,1783879742.5146902
Wang_2023_260712_2007,8,0,0.0001,0.8611555099487305,0.1604381948709488,,,,,4.779831886291504,86.29152965545654,42309.021696,,1783879747.2978783
Wang_2023_260712_2007,9,0,0.0001,0.8605773448944092,0.09803912043571472,,,,,4.842647075653076,91.13703608512878,42327.842816,,1783879752.1433847
Wang_2023_260712_2007,10,0,0.0001,0.8356953263282776,0.1265140324831009,,,,,4.786818742752075,95.92637801170349,42339.110912,,1783879756.9327266
Wang_2023_260712_2007,11,0,0.0001,0.8330841064453125,0.14648126065731049,,,,,4.7238311767578125,100.65507650375366,42339.115008,,1783879761.661425
Wang_2023_260712_2007,12,0,0.0001,0.8056346774101257,0.115152508020401,,,,,4.772720813751221,105.43044114112854,42339.434496,,1783879766.4367898
