run_id,model_name,saved_at,metricsTracker,mixedPrecision,gpuIDs,dataset_dir,augFlag,scale,batch_size,subBlocks,fine_size,epoch,itersPerEpoch,iterCyclesPerEpoch,valNum,valTest,ngsrf,numResBlocks,ganFlag,ndsrf,srAdv_lambda,disc_size,lr,epoch_step,phase,save_freq,print_freq,continue_train,continueEpoch,checkpoint_dir,modelName,test_dir,test_temp_save_dir,test_save_dir
Wang_2023_260716_1917,Wang_2023,2026-07-16T19:17:39.815472,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,False,4,32,4,48,500,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
Wang_2023_260723_1532,Wang_2023,2026-07-23T15:32:06.817570,True,False,0,/media/user/SSD2/fuelCellDataset2Dxy/,False,4,64,4,64,500,300,3,10,False,64,16,False,64,0.01,64,0.0001,50,testSmall,10,10,True,490,checkpoints,Wang_2023,data/processed/Wang_2023/test/,/media/user/SSD2/,/media/user/SSD2/,data/processed/Wang_2023/validation
Wang_2023_260728_1305,Wang_2023,2026-07-28T13:05:26.787801,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,False,4,32,4,48,500,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
Wang_2023_260728_1311,Wang_2023,2026-07-28T13:11:11.141919,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023_og/training/,False,4,32,4,48,500,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023_og/training/
Wang_2023_260728_1352,Wang_2023,2026-07-28T13:52:06.378958,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023_og/training/,False,4,32,4,48,500,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023_og/training/
Wang_2023_260728_1406,Wang_2023,2026-07-28T14:06:42.621473,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023_og/training/,False,4,32,4,48,500,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023_og/training/
Wang_2023_260729_1232,Wang_2023,2026-07-29T12:32:09.345242,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023_9020/training/,False,4,32,4,48,500,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023_9020/validation/
Wang_2023_260805_1114,Wang_2023,2026-08-05T11:14:17.810993,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/rock_samples/training/,False,4,32,4,48,200,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/rock_samples/validation/
Wang_2023_260805_1116,Wang_2023,2026-08-05T11:16:16.706659,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023_og/training/,False,4,32,4,48,200,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/rock_samples/validation/
Wang_2023_260805_1120,Wang_2023,2026-08-05T11:20:47.777014,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023_og/training/,True,4,32,4,48,200,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/rock_samples/validation/
